time,LT
0,321
0.001,322
0.002,323
0.003,323
0.004,322
0.005,322
0.006,323
0.007,324
0.008,322
0.009,322
0.01,322
0.011,322
0.012,322
0.013,322
0.014,322
0.015,322
0.016,322
0.017,322
0.018,323
0.019,323
0.02,323
0.021,322
0.022,323
0.023,322
0.024,322
0.025,322
0.026,322
0.027,322
0.028,323
0.029,322
0.03,322
0.031,322
0.032,321
0.033,323
0.034,322
0.035,321
0.036,323
0.037,323
0.038,322
0.039,323
0.04,322
0.041,320
0.042,321
0.043,323
0.044,324
0.045,322
0.046,322
0.047,322
0.048,322
0.049,321
0.05,320
0.051,322
0.052,321
0.053,322
0.054,321
0.055,321
0.056,321
0.057,321
0.058,322
0.059,322
0.06,322
0.061,323
0.062,322
0.063,323
0.064,322
0.065,323
0.066,322
0.067,323
0.068,323
0.069,323
0.07,322
0.071,323
0.072,323
0.073,323
0.074,321
0.075,322
0.076,322
0.077,322
0.078,323
0.079,322
0.08,322
0.081,322
0.082,323
0.083,322
0.084,322
0.085,322
0.086,322
0.087,323
0.088,323
0.089,323
0.09,322
0.091,322
0.092,323
0.093,323
0.094,322
0.095,321
0.096,323
0.097,322
0.098,321
0.099,321
0.1,322
0.101,323
0.102,322
0.103,322
0.104,322
0.105,322
0.106,321
0.107,322
0.108,322
0.109,322
0.11,321
0.111,320
0.112,321
0.113,323
0.114,323
0.115,322
0.116,322
0.117,322
0.118,323
0.119,323
0.12,321
0.121,321
0.122,321
0.123,321
0.124,322
0.125,322
0.126,322
0.127,321
0.128,321
0.129,321
0.13,323
0.131,323
0.132,322
0.133,322
0.134,322
0.135,323
0.136,322
0.137,322
0.138,322
0.139,324
0.14,320
0.141,322
0.142,322
0.143,323
0.144,322
0.145,322
0.146,322
0.147,321
0.148,322
0.149,322
0.15,323
0.151,322
0.152,322
0.153,323
0.154,323
0.155,324
0.156,322
0.157,322
0.158,322
0.159,323
0.16,322
0.161,323
0.162,321
0.163,321
0.164,322
0.165,323
0.166,322
0.167,322
0.168,322
0.169,322
0.17,323
0.171,324
0.172,322
0.173,323
0.174,324
0.175,322
0.176,321
0.177,322
0.178,321
0.179,321
0.18,322
0.181,322
0.182,322
0.183,322
0.184,322
0.185,321
0.186,321
0.187,322
0.188,322
0.189,321
0.19,321
0.191,321
0.192,321
0.193,322
0.194,322
0.195,322
0.196,322
0.197,322
0.198,322
0.199,323
0.2,322
0.201,321
0.202,321
0.203,322
0.204,323
0.205,322
0.206,322
0.207,322
0.208,322
0.209,322
0.21,321
0.211,322
0.212,321
0.213,321
0.214,322
0.215,321
0.216,322
0.217,321
0.218,322
0.219,322
0.22,322
0.221,322
0.222,322
0.223,321
0.224,321
0.225,322
0.226,322
0.227,322
0.228,322
0.229,322
0.23,323
0.231,322
0.232,321
0.233,320
0.234,321
0.235,322
0.236,321
0.237,322
0.238,322
0.239,322
0.24,322
0.241,323
0.242,323
0.243,323
0.244,323
0.245,322
0.246,323
0.247,323
0.248,322
0.249,322
0.25,322
0.251,323
0.252,323
0.253,322
0.254,322
0.255,322
0.256,323
0.257,323
0.258,323
0.259,325
0.26,324
0.261,321
0.262,323
0.263,323
0.264,323
0.265,321
0.266,322
0.267,321
0.268,322
0.269,322
0.27,321
0.271,321
0.272,321
0.273,321
0.274,320
0.275,320
0.276,321
0.277,320
0.278,321
0.279,320
0.28,322
0.281,321
0.282,322
0.283,324
0.284,324
0.285,321
0.286,322
0.287,322
0.288,322
0.289,322
0.29,323
0.291,323
0.292,323
0.293,323
0.294,323
0.295,323
0.296,323
0.297,324
0.298,325
0.299,325
0.3,324
0.301,325
0.302,325
0.303,324
0.304,324
0.305,325
0.306,325
0.307,325
0.308,324
0.309,325
0.31,324
0.311,325
0.312,322
0.313,322
0.314,323
0.315,323
0.316,321
0.317,321
0.318,322
0.319,321
0.32,322
0.321,322
0.322,321
0.323,320
0.324,321
0.325,321
0.326,320
0.327,320
0.328,321
0.329,321
0.33,321
0.331,321
0.332,320
0.333,320
0.334,320
0.335,322
0.336,321
0.337,321
0.338,322
0.339,322
0.34,321
0.341,322
0.342,322
0.343,322
0.344,320
0.345,321
0.346,321
0.347,321
